slug,title,related-cdmid,related-objectid,image_small,image_thumb,identifier,sources,dates,date,date_notes,standing,standing_notes,history,name_history,use_history,additions,architect,description,latitude,longitude,location_description,cost,cost_notes,timeline-text
shouphall,Shoup Hall,553,campus00385,https://objects.lib.uidaho.edu/campus/small/campus00385_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00385_th.jpg,127-2,"Morton, UG 12 (2279)",1958-,1958,,Standing Building,,,"Named after George L. Shoup, last territorial governor and first state governor; Now School of Communication, Air Force ROTC (1999)",Single student dormitory for 110 students,Elevator added 1999?,"Dropping, Kelley, Finch (Boise); Contractors: Henry George &amp; Sons and Dunham Contracting",,46.730106,-117.015451,N.W. corner 6th Street and Rayburn Streets,"$375,000",,"<strong>Dates:</strong> 1958-<br /><strong>Cost:</strong> $375,000<br /><strong>Architect: </strong> Dropping, Kelley, Finch (Boise); Contractors: Henry George & Sons and Dunham Contracting"
smallanimalslaboratory,Small Animals Laboratory,751,campus00577,https://objects.lib.uidaho.edu/campus/small/campus00577_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00577_th.jpg,156-1,"Cards, Morton, UG12 Bx80 F2276, Facilities Architecture Drawing Archives",1953-1998,1953,,,Demolished 1998 for Idaho Commons construction,,Small Animals Laboratory; Media Center,"Small animal research; currently AV, photocopying, etc.",Remodeled for Media Center in 1986 when Life Sciences North was completed,Culler and Gale (Spokane),"Constructed entirely of reinforced concrete, two floors, flat roof",46.72765,-117.0125,"Idaho Avenue, adjacent to University Classroom Center","$33,900",,"<strong>Dates:</strong> 1953-1998<br /><strong>Cost:</strong> $33,900<br /><strong>Architect: </strong> Culler and Gale (Spokane)"
southhillhomesoriginal,South Hill Homes (original),3117,campus03092,https://objects.lib.uidaho.edu/campus/small/campus03092_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus03092_th.jpg,3117,"Beacon, Inventories, Facilities Architecture Drawing Archives",1947-1970,1947,,,Torn down to make room for family housing,,,Faculty housing,,Boise Cascade Manufactured Housing Group (Boise),"Pre-fabricated four and five room houses, one floor, no basement. 25 units, 20 two bedroom, 5 three bedroom",46.723804,-117.007007,Deakin and Taylor Avenues,"$250,000",,"<strong>Dates:</strong> 1947-1970<br /><strong>Cost:</strong> $250,000<br /><strong>Architect: </strong> Boise Cascade Manufactured Housing Group (Boise)"
southhillterraceapartments,South Hill Terrace Apartments,749,campus00575,https://objects.lib.uidaho.edu/campus/small/campus00575_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00575_th.jpg,155-4,"Morton, Facilities Architecture Drawing Archives",1970-,1970,,Standing Building,,,Name probably taken from South Hill Homes which were on the site previously,8 units in 1970; 10 units in 1972. Married student and family housing,Several additions to complex,Boise Cascade Manufactured Housing Group (Boise),"Pre-fabricated 2 bedroom 2 story units, 8 apartments to a unit",46.723892,-117.005001,Blake and Taylor Streets,,,<strong>Dates:</strong> 1970-<br /><br /><strong>Architect: </strong> Boise Cascade Manufactured Housing Group (Boise)
southhillvista,South Hill Vista,3118,campus03093,https://objects.lib.uidaho.edu/campus/small/campus03093_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus03093_th.jpg,3118,"Register (5:29), Argonaut, Facilities Architecture Drawing Archives",1992-,1992,,Standing Building,,,,"Units constructed 1992, occupied 1993. Family housing for students, day care center (Early Childhood Center)",,Michael and Lakeman (Portland),108 one and two bedroom units,46.724929,-117.004293,South side of Sweet Ave.,"$7,800,000",$7.8 million,"<strong>Dates:</strong> 1992-<br /><strong>Cost:</strong> $7,800,000<br /><strong>Architect: </strong> Michael and Lakeman (Portland)"
staugustinescatholiccenter,St. Augustine's Catholic Center,3119,campus03094,https://objects.lib.uidaho.edu/campus/small/campus03094_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus03094_th.jpg,3119,Argonaut,1966-,1966,,Standing Building,,,,Religious services,,Paul Blanton and Theodore Pritchard (UI professors),"Circular chapel with 84 foot diameter, 72 ft. conical roof covered with cedar shake shingles, walls are poured concrete. Student center is 2 story rectangular structure",46.729194,-117.006578,Deakin and Sixth St.,,,<strong>Dates:</strong> 1966-<br /><br /><strong>Architect: </strong> Paul Blanton and Theodore Pritchard (UI professors)
steelhouse,Steel House,3120,campus03095,https://objects.lib.uidaho.edu/campus/small/campus03095_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus03095_th.jpg,3120,Steel House website,1953-2019,,,,,"Steel House is a women's co-operative dormitory. <a href=""/digital/campus/buildings/blakehouse.html"">Blake House</a>, currently an office building for music and other faculty members, was historically occupied by Steel House.  In 2007, due to high renovation costs, Steel House was closed. In limbo for a year, the Steel House found new homes in the Phi Kappa Tau fraternity house from 2009 to 2012, and the Delta Chi house Fall 2012 to the present. <br><br>Commonly referred to as ""Steel,"" the women's co-operative was named after Ethel Steel who was a leader in the movement to provide cooperative residence halls on UI's campus and a member of the board of regents at the University of Idaho from 1933 to 1946. Women living in the residence became known as the ""Women of Steel"" or ""Steelies"".",,Delta Chi Fraternity House,,Unknown,,46.726656,-117.008009,"Steel House, originally at Blake House, moved to the Phi Kappa Tau fraternity house from 2009-12. Then to the former Delta Chi house.",,,
storagebuildings,Storage Buildings,3121,campus03096,https://objects.lib.uidaho.edu/campus/small/campus03096_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus03096_th.jpg,3121,"Cards, Argonaut",1910-?,1910,,,No Longer Standing,,,"Built 1910-1911; acquired 1923. Constructed in 1911 for $100,000 by Harvester Company. Used as agriculture engineering shops, then as storage area for Veterans Village after World War II.",,Unknown,"Three buildings, 1 story concrete and factory glass, on 6 acres of land.",46.730525,-117.013273,West Sixth Street near Line,"$45,000","$45,000 (state appropriation)","<strong>Dates:</strong> 1910-?<br /><strong>Cost:</strong> $45,000<br /><strong>Architect: </strong> Unknown"
studenthealth,Student Health,1774,campus02703,https://objects.lib.uidaho.edu/campus/small/campus02703_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus02703_th.jpg,74-1,"Cards, UG 44, Morton",1936-,1936,,Standing Building,,,"Infirmary, Student Health Center","University hospital with 68 beds, and student health center; WAMI offices.","A $385,000 addition, with alterations to the existing structure which doubled the space in the infirmary was begin in 1958",Whitehouse &amp; Price (Spokane); Construction by Colonial Construction of Spokane; Architects for addition were Wayland &amp; Cline (Boise) General Contractor: Dunham Brothers,"Reinforced concrete with brick veneer, three stories plus finished basement. College Gothic style, with stone trim and shingle tile roof. Outside walls are of terra cotta tile and brick, trimmed with Indiana limestone. 194' x 54'",46.727215,-117.009355,University Ave. and Ash Street 832 Ash St,"$131,329","$131,329 (Bond issue, PWA grant)","<strong>Dates:</strong> 1936-<br /><strong>Cost:</strong> $131,329<br /><strong>Architect: </strong> Whitehouse & Price (Spokane); Construction by Colonial Construction of Spokane; Architects for addition were Wayland & Cline (Boise) General Contractor: Dunham Brothers"
studentrecreationcenter,Student Recreation Center,3122,campus03097,https://objects.lib.uidaho.edu/campus/small/campus03097_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus03097_th.jpg,3122,Facilities Architecture Drawing Archives,2002-,2002,,Standing Building,,,,,,Northwest Architecture Company (Spokane),,46.731997,-117.013572,Line Street,,,<strong>Dates:</strong> 2002-<br /><br /><strong>Architect: </strong> Northwest Architecture Company (Spokane)
studentunionbuilding,Student Union Building,3123,campus03098,https://objects.lib.uidaho.edu/campus/small/campus03098_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus03098_th.jpg,3123,"Cards, UG 44, Morton, UG 12 (2321, 2323)",1936-,1936,,Standing Building,,Student Union Building,Student Union Building,"In 1936 the Board of Regents purchased the Blue Bucket Inn, owned by Dean of Women Permeal French, and used for some time for student activities. Several additions and renovations followed. Student support and food and recreation services","Unit #2 (1936) $250,000, concrete, brick veneer with cut stone trim; Unit #3 (1948); Unit #4 (19560, $1,800,000. 1961 addition, 1962 remodel, 1963 bookstore addition; 2000 renovation","Dropping, Kelley and Finch (Boise)","Reinforced concrete with brick veneer, three floors and basement",46.72865,-117.007329,Deakin Street,"1,506,231","$806,231 (bonds); Unit 3 $700,000; Unit 4, $1,000,000","<strong>Dates:</strong> 1936-<br /><strong>Cost:</strong> $1,506,231<br /><strong>Architect: </strong> Dropping, Kelley and Finch (Boise)"
studentunionbuildingannex,Student Union Building Annex,3124,campus03099,https://objects.lib.uidaho.edu/campus/small/campus03099_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus03099_th.jpg,3124,Morton,1924-?,1924,,,Torn down 2002-03,"Alpha Chi Omega, 1924-1960; Elm Street house, 1960-1962; Theta Chi fraternity, 1962-1987; Student Union Building Annex, 1987-","Alpha Chi Omega, 1924-1960; Elm Street house, 1960-1962; Theta Chi fraternity, 1962-1987; Student Union Building Annex, 1987-","Originally fraternities, then used by Air Force ROTC",,Unknown,,46.728584,-117.007983,7th and Elm streets,,,<strong>Dates:</strong> 1924-?<br /><br /><strong>Architect: </strong> Unknown
swimmingcenter,Swimming Center,795,campus00632,https://objects.lib.uidaho.edu/campus/small/campus00632_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00632_th.jpg,166-4,Morton,1970-,1970,,Standing Building,,,,"Swimming instruction, recreation, and competition",,Fulton Gale (Coeur d'Alene),"Total area 33,839 sq. ft.; two pools 60 x 75 x 4 and 60 x 75 x 6, underwater viewing windows",46.725348,-117.013766,South of Memorial Gym,"1,289,263",,"<strong>Dates:</strong> 1970-<br /><strong>Cost:</strong> $1,289,263<br /><strong>Architect: </strong> Fulton Gale (Coeur d'Alene)"
targheehall,Targhee Hall,1770,campus02699,https://objects.lib.uidaho.edu/campus/small/campus02699_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus02699_th.jpg,73-1,"Morton, UG 12 (2278)",1958-,1958,,Standing Building,,,"Most likely named for a chief of the Bannock tribe who was killed by Crow Indians in 1871. Properly spelled Tygee, later Tige, then Targhee. Originally Campus Club, built to replace the original Campus Club which burned Wednesday May 14, 1958",Men's co-op dorm,,"Hicks, James &amp; Culler, Gale, Martell &amp; Norrie of Coeur d'Alene; General contractor: Albert &amp; Leffler; Builder: Commercial Builders (Moscow)","Reinforced concrete frame, brick facing, 2 story dormitory to accommodate 60 students, single story lounge, dining and kitchen area adjacent. Basement for recreation area, utilities and storage under a portion of the dormitory wing.",46.722893,-117.008754,NW corner of Blake and Taylor streets,"$190,000","190,000 (Board of Regents borrowed $95,000, the rest was from unallocated funds)","<strong>Dates:</strong> 1958-<br /><strong>Cost:</strong> $190,000<br /><strong>Architect: </strong> Hicks, James & Culler, Gale, Martell & Norrie of Coeur d'Alene; General contractor: Albert & Leffler; Builder: Commercial Builders (Moscow)"
teachingandlearningcenter,Teaching and Learning Center,3125,campus03100,https://objects.lib.uidaho.edu/campus/small/campus03100_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus03100_th.jpg,3125,,2003-,2003,,Standing Building,,,Previously University Classroom Building,"Construction began in 2003; completed Fall 2005.. 29 classrooms, a computer teaching lab, two digital teaching labs, the Office of the Dean of Students, study areas, cyber cafe.",,Opsis Architecture (Portland),,46.727385,-117.013004,966 University Avenue,"$12,500,000",$12.5 million,"<strong>Dates:</strong> 2003-<br /><strong>Cost:</strong> $12,500,000<br /><strong>Architect: </strong> Opsis Architecture (Portland)"
termporaryclassroombuilding1,Temporary Classroom Building 1,729,campus00560,https://objects.lib.uidaho.edu/campus/small/campus00560_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00560_th.jpg,152-1,"Cards, Maps",1946-1966,1946,,,Dismantled to allow construction of Education Building,,,"Department of Psychology located in building until 1952. Then used by Counseling center, Sociology, Anthropology, and Dramatics storage.",,Unknown,"One story, frame, wooden, 51' x 75', gable roof, composition shingles, wood siding, painted white",46.725958,-117.01191,NW of Administration Building,,,<strong>Dates:</strong> 1946-1966<br /><br /><strong>Architect: </strong> Unknown
termporaryclassroombuilding2,Temporary Classroom Building 2,727,campus00558,https://objects.lib.uidaho.edu/campus/small/campus00558_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00558_th.jpg,150-1,"Cards, Maps",1947-1966,1947,,,"Torn down August 1966, replaced by College of Education in 1965",,,Used for classrooms and Letters and Sciences offices.,,Unknown,"Prefabricated, one floor, frame, gable, composition shingles, wood shakes, painted white, 25' x 300'",46.7254,-117.012232,West of Administration Building,,,<strong>Dates:</strong> 1947-1966<br /><br /><strong>Architect: </strong> Unknown
termporaryclassroombuilding4,Temporary Classroom Building 4,3126,campus03101,https://objects.lib.uidaho.edu/campus/small/campus03101_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus03101_th.jpg,3126,"Cards, UG 12 (2329)",1947-1954,1947,,,Demolished 1954,Called Communication Laboratory from 1947-1951,Called Communication Laboratory from 1947-1951,,,Unknown,"One story frame structure with cedar lap siding and cedar shingles, 152' x 40'",46.723907,-117.01058,SW of Engineering Testing Laboratory,,,<strong>Dates:</strong> 1947-1954<br /><br /><strong>Architect: </strong> Unknown
theophilustower,Theophilus Tower,590,campus00420,https://objects.lib.uidaho.edu/campus/small/campus00420_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00420_th.jpg,134-12,"Morton, Bookmark, Argonaut, VF",1967-,1967,,Standing Building,,,"Named for Donald R. Theophilus, U.I. President 1954-1965; Forney Hall, 2nd &amp; 3rd floors; French Hall, 4th and 5th floors; Hays Hall, 6th &amp; 7th floors; Sweet Hall, 8th &amp; 9th floors; Chrisman Hall, 10th &amp; 11th floors","Construction began Nov. 1967, completed Sept. 1969. Single student dorm, co-ed.",,Dropping &amp; Kelley (Boise),"11 story building with accommodations for 416 students; 90,779 sq. ft.",46.7308,-117.014033,Paradise Creek Street,"$2,500,000",$2.5 million (Regents bonds),"<strong>Dates:</strong> 1967-<br /><strong>Cost:</strong> $2,500,000<br /><strong>Architect: </strong> Dropping & Kelley (Boise)"
transportationcenter,Transportation Center,3104,campus03080,https://objects.lib.uidaho.edu/campus/small/campus03080_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus03080_th.jpg,3104,Sources UI Transportation website; Design West company website,2013-,2013,,Standing Building,,,,,,Design West Architects P.A. (Pullman),,46.726008,-117.005197,NE corner of Railroad and Sweet,,,<strong>Dates:</strong> 2013-<br /><br /><strong>Architect: </strong> Design West Architects P.A. (Pullman)
triangleclub,Triangle Club,3127,campus03102,https://objects.lib.uidaho.edu/campus/small/campus03102_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus03102_th.jpg,3127,Cards,1937-?,1937,,,3 buildings torn down between 1952 and 1966.,Infirmary; Senior Hall; Triangle club; Home Management House; Lindley Hall Annex; Tau Kappa Epsilon,Infirmary; Senior Hall; Triangle club; Home Management House; Lindley Hall Annex; Tau Kappa Epsilon,"Two old frame houses, formerly the Infirmary and Senior Hall were consolidated into the Triangle Club on a cooperative basis. In fall 1938 one became the Home Management House, the second became Lindley Hall Annex. The third rented to Tau Kappa Epsilon",,Unknown,Wood frame houses,46.727755,-117.009113,Ash Street,,,<strong>Dates:</strong> 1937-?<br /><br /><strong>Architect: </strong> Unknown
uiadvancementbuilding,UI Advancement Building,733,campus00563,https://objects.lib.uidaho.edu/campus/small/campus00563_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00563_th.jpg,153-1,"Morton, UG 12 (2288), Argonaut",1964-,1964,,Standing Building,,,Home Management House (New); U of I Foundation and Development Office,Home Economics labs; faculty and grad offices; 199- University of Idaho Foundation offices,,Wayland &amp; Cline (Boise),"2 level, open plan, brick exterior",46.724032,-117.00955,Nez Perce Street,"$40,000","$40,000 allocation","<strong>Dates:</strong> 1964-<br /><strong>Cost:</strong> $40,000<br /><strong>Architect: </strong> Wayland & Cline (Boise)"
universityclassroomcenter,University Classroom Center,562,campus00403,https://objects.lib.uidaho.edu/campus/small/campus00403_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00403_th.jpg,128-9,"Morton, Argonaut",1964-2003,1964,,Integrated into the Teaching and Learning Center,,,University Classroom Center,"Constructed in 1964, occupied in 1965; remodeled as Teaching and Learning Center 2003-2004. General classrooms; student support offices; media/photo center",,"Designed by UI graduate Fulton Gale, Jr. of Culler, Gale, Martell, Norrie &amp; Davis (Coeur d'Alene","Brick and concrete; 77,259 sq. ft.; ramps connect the levels, all room have doors opening to the outside.",46.727431,-117.012744,University Ave across mall from Library,"$1,450,000","$1,450,000 (Regents bonds)","<strong>Dates:</strong> 1964-2003<br /><strong>Cost:</strong> $1,450,000<br /><strong>Architect: </strong> Designed by UI graduate Fulton Gale, Jr. of Culler, Gale, Martell, Norrie & Davis (Coeur d'Alene"
universityfarms,University Farms,1059,campus00001,https://objects.lib.uidaho.edu/campus/small/campus00001_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00001_th.jpg,001-01,PG 1,1889-,1889,,Standing Building,,,,,,Unknown,,46.730455,-117.031571,"46.730455,-117.031571",,,<strong>Dates:</strong> 1889-<br /><br /><strong>Architect: </strong> Unknown
universitygarages,University Garages,3128,campus03103,https://objects.lib.uidaho.edu/campus/small/campus03103_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus03103_th.jpg,3128,Cards,Date Unknown,,,,,,,,,Unknown,One story brick; 20 buildings,46.730441,-117.011508,NE of heating plant; West of Buildings and Grounds Center,,,
universityhutu-hut,University Hut (U-Hut),1845,campus02768,https://objects.lib.uidaho.edu/campus/small/campus02768_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus02768_th.jpg,77-4,"Cards, Morton, Facilities Architecture Drawing Archives",1918-2000,1918,,,Torn down Fall 2000,,"Y-Hut, Post Office, U-Hut"," Initially called the Y-Hut, built by the National War Work Council of YMCA and intended for student soldiers. Used by English Department, campus theatre group, and theatre department for dramatic productions. Post office substation operated in the building from 1926-1957. Briefly housed ASUI and Art Department offices. Black box theatre renamed Collette Theatre for professor and department chair Jean Collette. Final use was as Idaho Commons construction headquarters.",,Upgraded by UI Department of Buildings and Grounds after purchase,"One story frame structure, gable roof, wood shingles and siding, basement, 50' x 90'",46.727104,-117.011623,University Avenue and Line Street,"$8,000",,"<strong>Dates:</strong> 1918-2000<br /><strong>Cost:</strong> $8,000<br /><strong>Architect: </strong> Upgraded by UI Department of Buildings and Grounds after purchase"
veterinaryscience,Veterinary Science,3129,campus03104,https://objects.lib.uidaho.edu/campus/small/campus03104_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus03104_th.jpg,3129,"Cards, Bookmark",1949-1955,1949,,,No Longer Standing,,,,,Unknown,"One floor, wood frame and siding, gable room, basement, painted white, 25' x 75'",46.729524,-117.015389,S.W. Sixth and Rayburn Streets,"$18,000","$18,000 (local funds)","<strong>Dates:</strong> 1949-1955<br /><strong>Cost:</strong> $18,000<br /><strong>Architect: </strong> Unknown"
wallacecomplex,Wallace Complex,643,campus00470,https://objects.lib.uidaho.edu/campus/small/campus00470_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00470_th.jpg,141-11,"Morton, Bookmark, UG 12 (2329), UG 13 (121)",1963-,1963,,Standing Building,,,"Named for William H. Wallace, first territorial governor of Idaho, 1863-1864","First two units and cafeteria completed in 1963. Single student dorms and cafeteria; also student services offices Additional Information on Wings: -----------Wiley Wing - Wallace Complex Wings and Halls | Description: Wiley Wing (N.B. Wiley, second governor of Idaho, 1890-1893) N.E. wing | Name History: Campbell Hall (Mrs. Marguerite Campbell, regent, 1951-1961), 1st &amp; 2nd floors; Houston Hall (Maude Cosho Houston, regent, 1946-1951, 3rd &amp; 4th floors; White Pine Hall (state tree), 5th flr; Carter Hall (Louise Carter, Dean of Women, 1944-57), 6th flr. | -----------Gooding Wing - Wallace Complex Wings and Halls | Description: Gooding Wing (Frank R. Gooding, Governor Idaho, 1905-1909) N.W. wing | Name History: McCoy Hall (Bernice McCoy, Director of placement service, 1922-1945) 1st flr; Olesen Hall (Ella L. Oleson, Registrar, 1915-1944) 2nd flr; Gray Loess Hall (prevalent Palouse soil) 3rd &amp; 4th flr.; Whitman Hall (Mrs. M.J. Whitman, regent, 1897-99), 5th &amp; 6th | -----------Ballard Wing - Wallace Complex Wings and Halls | Description: Ballard Wing (David W. Ballard, Governor Idaho Territory, 1866-1870) S.E. Wing | Name History: Snow Hall (Harold Snow, state representative, latah Co., 1953-1974), 1st &amp; 2nd flrs; Graham Hall (James E. Graham, regent, 1952-1960) 3rd &amp; 4th flrs. | ----------- Stevenson Wing - Wallace Complex Wings and Halls | Description: Stevenson Wing (Edward A. Stevenson, Governor Idaho territory, 1885-1889, who signed the bill creating the university) S.W. wing | Name History: Borah Hall (William Edgar Borah, U.S. Senator from Idaho, 1907-1940) 1st &amp; 2nd floors; Lindley Hall (Ernest Hiram Lindley, President UI,1917-1920) 3rd &amp; 4th floors",Third unit completed August 1965; 4th unit completed July 1967,"Wayland, Cline &amp; Smull (Boise)",Central structure with four wings; central portion is 2 floors and contains cafeteria and offices. The two south wings are 4 floors and house 212 students each. The north two wings are 6 floors and house 312 each.,46.730406,-117.01636,NE corner 6th Street and Greenhouse,"$6,788,000","First two units and cafeteria $3,750,000; 3rd unit, $1,536,000; 4th unit budget $1,502,000","<strong>Dates:</strong> 1963-<br /><strong>Cost:</strong> $6,788,000<br /><strong>Architect: </strong> Wayland, Cline & Smull (Boise)"
westsixthandnorthmainvillages,West Sixth and North Main Villages,387,campus00222,https://objects.lib.uidaho.edu/campus/small/campus00222_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00222_th.jpg,120-4,Argonaut,1956-1959,1956,,,Condemned and closed in fall of 1958 due to fire risks; Torn down fall 1959,,,Housing for veterans and married students,74 cinder block buildings added November &amp; December 1956.,Unknown,War surplus barracks style units moved in from Portland containing 156 apartments.,46.73004,-117.015075; 46.737835,Sixth St. west of Line; North Main &amp; D Street,,,<strong>Dates:</strong> 1956-1959<br /><br /><strong>Architect: </strong> Unknown
womenscenter,Women's Center,1865,campus02787,https://objects.lib.uidaho.edu/campus/small/campus02787_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus02787_th.jpg,82-1,"Cards, Argonaut",1935-2000,1935,,,Torn down Summer 2000,,"University Classroom Building; Journalism Building; Women's Center, Tutoring and Academic Assistance Center",Classrooms; Women's Center and student academic assistance,,Constructed by UI Department of Buildings and Grounds,"One floor, wood frame with cedar lap siding, gable roof, 40' x 120'",46.727576,-117.011738,Line Street and Idaho Avenue,"$6,612","$6,612 (local funds)","<strong>Dates:</strong> 1935-2000<br /><strong>Cost:</strong> $6,612<br /><strong>Architect: </strong> Constructed by UI Department of Buildings and Grounds"
woodconversionlaboratory,Wood Conversion Laboratory,336,campus00167,https://objects.lib.uidaho.edu/campus/small/campus00167_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00167_th.jpg,115-1,"Cards, Argonaut",1932-1949,1932,,,Demolished prior to construction of Engineering Building,,,,,Constructed by UI Department of Buildings and Grounds,"Concrete floor, wood frame, 30' x 25'",46.728887,-117.01173,Line and 7th Street,"$4,000",,"<strong>Dates:</strong> 1932-1949<br /><strong>Cost:</strong> $4,000<br /><strong>Architect: </strong> Constructed by UI Department of Buildings and Grounds"
